,Prediction,Actual
12288,348679.21321326424,359500.0
15753,331887.9183593204,300000.0
12281,423009.69128339307,335000.0
13572,502501.1646649394,300000.0
20828,336555.365059339,409316.0
12667,61345.63101938384,199950.0
11890,191380.03953101241,185000.0
503,485474.9452853813,615000.0
14066,139604.27113221638,199950.0
16849,326415.903024607,420000.0
20968,807634.167585797,864327.0
20994,317526.44524812617,235245.0
5916,-18464.35711614418,255000.0
5244,462335.5504369517,460000.0
8931,463123.838423557,680000.0
14020,599845.3718640449,645000.0
6061,958892.7267243642,1240000.0
5865,369513.83607955696,390000.0
10943,760335.2472415408,1130000.0
1427,483608.3762807853,459000.0
6418,364388.60572759237,260000.0
17238,-107468.68282097529,145000.0
10022,257694.89435018238,255000.0
12669,751200.5932592679,449950.0
11825,588200.5891673295,498500.0
3106,490861.0936794182,640000.0
9790,242185.11669957446,311000.0
12487,483091.54672428954,495500.0
12399,52909.26461770589,225205.0
8753,308286.06640587316,357000.0
10675,291055.37380025233,210000.0
15461,322592.9645704279,275000.0
2270,435417.9083839924,517100.0
8256,619885.4934866184,689000.0
5754,416305.91439827345,350000.0
12340,332055.34320321365,305000.0
9994,1192948.3823916158,965000.0
5784,1182712.4002368562,970000.0
2885,590375.9601320153,476000.0
13268,343710.6228400521,260000.0
14224,199843.7067917076,319500.0
20904,303418.31649903767,300000.0
12578,710114.8374159522,689000.0
17580,256662.1390404437,290000.0
2458,431450.80143659376,340000.0
3806,395104.0965557194,348000.0
10994,859065.5094227697,910000.0
17169,981106.3634535066,1629000.0
21391,582308.0367410379,690000.0
5841,568939.5535265108,513000.0
7451,356519.0576631115,290000.0
1729,713459.4811534048,780000.0
9634,329130.8361541495,489000.0
2683,764252.1267243406,485000.0
971,261964.95916493586,427200.0
19484,304724.8599952272,369950.0
5042,359296.1746858667,300000.0
4610,504845.82331777073,289950.0
11807,842701.3746778815,902500.0
11091,447226.2465320361,341000.0
7153,668589.6420838485,615000.0
20104,344644.28237914236,308000.0
16581,185454.48124488175,209950.0
21149,672990.5669812955,659000.0
12187,389395.474457431,345000.0
8223,507417.1635228455,382000.0
16630,735856.9052440858,589950.0
9645,129603.87861212378,215000.0
18162,189038.01736149396,255000.0
4974,579675.2156569649,455000.0
14470,386997.6557620509,246000.0
18244,755503.8614151597,822500.0
13751,479779.05269118876,306000.0
12840,216249.89551044744,269000.0
18693,881144.8445204018,680000.0
11491,367951.36342886894,355000.0
21187,577088.0569951737,410000.0
16804,708877.1928820062,645000.0
18217,122566.39513114683,200000.0
15537,1091704.9055188834,1075000.0
15399,28546.238896573952,135000.0
9109,455942.3705771979,305000.0
9545,718222.2623328721,765000.0
21372,691921.3914758078,1057000.0
3617,268407.19540170126,267000.0
12292,258672.48053927976,253500.0
1862,959871.019194567,832000.0
16668,532554.2130117208,607500.0
7231,378219.33239024866,390000.0
12107,217065.02354720025,269500.0
18186,431267.45594029245,570000.0
4307,301368.8761890796,370000.0
11307,648068.4234282806,387500.0
12621,305768.5482545276,335000.0
16728,736647.7743394141,469000.0
3310,496896.4119457854,299000.0
2043,157009.7156837755,272500.0
2214,565275.5605654764,600000.0
8644,393493.8657586066,427550.0
3351,1327575.8260035058,970000.0
6428,427681.97143016977,525000.0
9442,756207.4758187609,490000.0
3023,367359.29060986056,272000.0
563,568042.0938476194,610000.0
12507,674073.8622412393,669888.0
14189,82734.4039592265,167000.0
10792,381016.5705170011,210750.0
17618,821798.2692665778,900000.0
6293,420167.6834271712,490000.0
1297,419653.08245932474,533000.0
20741,425234.09195872466,575000.0
14313,571149.6316871787,260000.0
6275,516891.13351425086,376000.0
3638,388623.73300357314,397000.0
7157,410180.1023835199,369000.0
19647,390316.84880899685,419354.0
3261,561377.8853626961,700000.0
17762,501558.8770727664,420000.0
8366,364400.90159633383,290000.0
12776,461310.47789802554,400000.0
2195,455424.00633780786,398000.0
7513,153923.66931268777,320000.0
13601,323692.8181358032,275000.0
8882,690682.6168879627,684000.0
11010,1908737.3538694982,1820000.0
44,148782.24663880386,309000.0
7198,625911.5447806504,659500.0
12514,641425.1564606157,630000.0
2425,-27765.533533081558,143000.0
10624,188628.59967402305,392000.0
13814,127658.5589088191,348000.0
20835,847145.4161201433,515000.0
4461,677642.1734958253,444900.0
18915,944814.4759783399,850000.0
10428,219404.80890044832,150000.0
14204,586119.5496842809,537100.0
4772,826721.4704120875,567000.0
4903,557956.6654916559,635000.0
5910,733745.5889283235,731000.0
12346,1647666.5265749972,1900000.0
7317,428571.34085880895,250000.0
20920,604308.7638330703,431000.0
14564,266729.0827608617,282000.0
13177,61670.24495864648,162000.0
5792,170448.17195723968,245000.0
11165,400541.26097183966,245700.0
5642,783432.7494313904,510000.0
19333,389898.4593855608,246000.0
9097,704564.4445686891,505000.0
3043,528752.3390457837,255000.0
10247,962068.5930070471,680000.0
9504,380118.60776137817,563250.0
17116,568349.0028205068,625000.0
18573,343367.76269806083,325000.0
1288,449543.474812923,588000.0
5915,914743.1710748748,796000.0
14670,196717.26346519444,210000.0
1504,615721.0943631459,500000.0
9150,529978.0182569115,529000.0
5885,205169.67646017368,377500.0
2351,756522.7712265446,674750.0
19041,365964.77352727903,390000.0
5673,418732.3425690043,405000.0
5923,391202.5455947571,325900.0
1114,1116410.2796909958,1200000.0
1595,688153.7858011939,667500.0
20806,1097926.3098694417,845950.0
1698,268980.1534355745,300000.0
15652,523110.6300940771,485000.0
11129,1344283.8289512703,1400000.0
10823,368174.8865224336,332000.0
13309,658678.6077105774,415000.0
17366,142124.58587002853,199500.0
21291,1332920.846760916,1987500.0
3704,1001919.8978234023,795000.0
7751,503433.5718813315,455000.0
17819,386985.85282579844,430000.0
1087,-84484.90029621028,241000.0
11838,893290.5558819562,600000.0
10904,816923.1578665244,660000.0
10349,779671.1449565062,575000.0
12639,492836.3969321195,606150.0
2334,237293.05243604473,172500.0
14674,251417.74315100512,330000.0
3511,450503.36218153825,355000.0
18267,351886.9294561319,400000.0
7049,302863.73691962264,330000.0
18371,603094.4401225356,490000.0
4059,649562.1795233606,660000.0
5553,517661.44310727704,375000.0
6974,283536.10181030876,415000.0
936,933137.6283072847,915000.0
6503,138397.9203141873,200000.0
13124,460075.20333399496,559000.0
21269,550455.6574151624,531155.0
17098,847395.9632221131,490000.0
16427,533164.6447601848,461000.0
3386,97730.700778144,189000.0
7110,137471.07022709632,237000.0
8892,592520.1918881421,368000.0
12644,250215.90171958873,425000.0
8886,977574.2625744749,894000.0
3230,1188250.3185541378,1208000.0
17664,353807.2871967094,425000.0
424,467758.2004411925,365000.0
16111,103501.87094649195,225000.0
4936,1374850.6381043415,825000.0
3050,1050775.423108377,1125000.0
19274,678920.8014673537,872500.0
12931,723797.8424982141,870000.0
1290,323697.2742536069,285000.0
5598,221666.22075870156,212000.0
16539,582219.9859544451,347500.0
9041,907906.6551969835,660000.0
4730,549894.1831099231,490000.0
3576,678801.2648114101,625000.0
6366,55356.32896861876,238950.0
18097,520803.94997991435,493000.0
1662,47107.84602692013,165050.0
12519,973040.9840767687,900000.0
11337,365507.5513189876,440000.0
13730,1005558.3895339627,775000.0
20908,622605.4240650075,680000.0
5532,191828.48607019242,241500.0
16219,231013.80421907018,139000.0
9935,284678.3149179197,435000.0
1891,706577.4153750817,590000.0
15139,519872.02793455345,513000.0
16641,525029.0073821384,372000.0
18142,414862.91843090835,276500.0
812,658444.6620778458,682000.0
2412,414235.6989643135,305500.0
12084,778086.1612930304,615000.0
12965,301811.7168278197,358000.0
19556,242115.90159394953,334950.0
369,264028.28421214025,297000.0
5853,453241.0109706761,595000.0
16686,355866.2460937693,265000.0
12012,582215.2708197815,585000.0
1328,473185.2163932866,445950.0
8432,485311.0034917047,380000.0
11711,319269.04224640725,324950.0
5483,166268.4587001957,288000.0
15307,296019.9753043994,257000.0
9458,823070.5571325597,961000.0
21040,283729.9422241944,369500.0
15115,611880.2256719705,775000.0
16987,721844.929007329,535000.0
17483,550968.068119161,700000.0
2141,744767.4241456295,455000.0
16846,537681.0451240839,645000.0
3776,271498.97664684977,245000.0
8165,205746.18174034182,342888.0
15004,721013.6190150033,370000.0
5115,385976.57386578503,395000.0
8602,580194.8053548413,385000.0
17078,237048.53420133935,265000.0
4013,264489.37304261955,310000.0
6239,950867.3397068424,890000.0
19654,1355906.5781650855,950000.0
8815,187043.34936868638,183000.0
14734,959016.8257901674,1520000.0
2315,906488.3995500341,555000.0
5502,609618.3302569778,587000.0
21201,296864.14643453655,403000.0
15137,569078.7759907464,605000.0
17588,562874.791254604,488800.0
4337,132494.49061293353,191000.0
21044,283554.13202776155,372000.0
1870,926254.6738991017,785500.0
12896,725860.1821283313,726888.0
5561,213215.0871932035,270000.0
17891,597003.4702908557,540000.0
7672,1274463.2834247267,1250000.0
9263,506360.7608297154,339950.0
6631,545719.2538400892,505000.0
15604,256056.8533602528,500000.0
20327,953249.6577762953,1699990.0
15762,518161.61156029964,313000.0
5140,1131849.0085228612,1160000.0
6237,1090636.9257819233,1202500.0
2255,411265.9411805525,560000.0
14660,526731.137722821,670000.0
9871,135423.18838262104,210000.0
5099,417981.1557162489,447000.0
18429,367689.81269248226,526000.0
17754,784904.4106726755,675000.0
17460,-70067.88220165033,315000.0
20017,303829.3760112794,300500.0
2457,384558.13603924646,345000.0
2075,318596.1756496293,398500.0
17298,492907.9878601612,445000.0
11693,280442.442181078,170000.0
1371,674530.780292623,606000.0
9384,277606.2949717005,250600.0
2168,275008.6683177543,275000.0
2127,487282.45510414534,415000.0
1640,473985.91039062117,365000.0
2450,739756.0066392237,824000.0
3615,448203.92184862297,600000.0
16476,789666.2508815998,615000.0
18565,1190571.2088954751,1115000.0
14000,577997.0625395132,875000.0
1092,604923.992578835,631000.0
18182,220555.47731078125,280000.0
2766,959395.5008881198,1610000.0
4269,423119.6950340875,325000.0
8029,466174.5676896806,315000.0
10957,325522.2702550946,265000.0
19917,511619.1773370834,355000.0
6848,376005.1013255572,349900.0
11225,637316.7987679907,825000.0
3728,175874.55234621844,205000.0
11236,753614.0432494328,700000.0
7852,407425.4541600903,320000.0
5557,1276523.076219643,1691000.0
2140,554812.980899811,665000.0
1534,232875.76258608338,150000.0
3919,573006.6957218029,317000.0
7121,428776.7959598596,287000.0
12911,646583.825067989,998500.0
5250,338179.03653113765,249000.0
3256,957370.403410734,1003000.0
18376,793642.0001704396,562000.0
11467,300001.285347953,258950.0
6136,674620.9822051638,639000.0
2346,546088.1467092029,500000.0
15567,269219.67750528234,205000.0
18169,434601.59130214923,130000.0
20973,1022207.3315515952,950000.0
19974,361519.59786194144,328423.0
14363,421252.5600139324,440000.0
14294,494401.13643384783,500000.0
4706,302624.6539922437,330000.0
4074,166153.19643793692,198500.0
17346,157330.4630160613,241500.0
14704,178740.4774721429,240000.0
10444,439265.58363441227,392500.0
17433,391554.23657088936,355000.0
3073,190341.57403711195,247500.0
13459,366467.5281615505,304400.0
20460,339331.34965081,451300.0
1503,493400.50957606337,610000.0
2595,1058297.1858491893,1165000.0
5163,285239.79876744235,285900.0
14070,288528.4881558686,473600.0
554,234222.40715733246,331500.0
7403,826903.6177768606,1170000.0
21415,390071.5766932785,475000.0
16864,356766.7632098404,482000.0
5545,673962.0053805652,450000.0
14691,1410987.5442770133,1060000.0
14779,391080.3835193401,329500.0
15011,501956.85893818375,600000.0
7729,98357.99865510309,365000.0
13015,463295.42747255915,417000.0
17115,255988.98960942193,279000.0
4966,589043.1374712406,525000.0
5833,1490510.2541543008,3418800.0
17188,137602.74941218516,242000.0
12724,638889.6861952179,542000.0
5282,288009.7331188009,319950.0
2878,401826.4461789484,305000.0
3316,207122.61496561422,247300.0
7500,372646.47425638034,382000.0
18737,575586.3610805786,550000.0
8136,433689.70812117436,525000.0
12184,482255.00711025053,368000.0
15922,924369.9760178869,814842.0
2617,1139822.896722653,1272000.0
21267,356387.99793231813,250000.0
423,418304.73253488983,397000.0
735,401430.2755624356,459000.0
19474,348378.7938446993,425000.0
10560,153993.66692281596,295832.0
606,648229.1183053106,650000.0
15543,1193639.482017147,825000.0
344,204696.31928561942,206600.0
7613,713613.5246424506,620000.0
19195,1025520.7284777964,805000.0
19453,833330.0764136944,825500.0
6119,601811.2723439288,460000.0
5742,698255.7937035527,415000.0
13988,83823.30431814381,219950.0
5849,466166.43502924324,513000.0
6549,274644.44032452325,290000.0
10489,387597.1320181907,350000.0
14265,678631.5605321248,760000.0
2830,509443.1424795168,856000.0
18939,475826.6226677045,429000.0
1642,382442.3723717865,400000.0
5732,131912.2893835915,265000.0
11997,528182.7464884858,592500.0
6958,670225.6847594458,725000.0
5601,543385.6218044012,535000.0
3207,1007508.6313994211,1062000.0
2498,495694.84895046,545000.0
5019,901911.9100549334,600000.0
6241,780262.9830707308,490000.0
2202,611473.8847770145,257000.0
14768,1437264.5031433702,1042030.0
20529,679517.4257427915,530000.0
2229,572571.3537730024,600000.0
4441,1293003.6756082107,910000.0
8928,873315.4770247372,552500.0
12681,659464.9332190155,726000.0
9929,597806.9027840579,521000.0
13412,143003.82824624912,233000.0
13625,268710.67707183526,272000.0
6097,889749.9863752312,639900.0
3847,268068.1590232329,357000.0
6455,703810.3038967465,557500.0
1182,238210.73493606108,173000.0
6501,560773.7451128724,498500.0
16602,192492.53273397224,208000.0
13688,900502.3054903412,600000.0
11044,469386.55082456814,660000.0
12919,375371.05857327813,413000.0
208,661003.8240689947,464000.0
3111,870688.8542977954,752500.0
3350,-4450.247765950393,144975.0
19384,606111.1931917613,334000.0
5508,149742.0073976225,227000.0
21336,225148.24317864777,406000.0
4832,-73701.53458929554,228000.0
14897,1517856.532822908,735000.0
8944,522648.15371872834,490000.0
6483,873354.8365820526,775000.0
15651,476918.43229597737,315000.0
13613,727177.3494058,584950.0
21316,593523.923667654,400000.0
18674,117292.68600362021,250000.0
17729,669575.8616981895,615000.0
4322,380011.59446419857,660000.0
8678,396310.1066494045,233000.0
16495,406847.2480821494,335000.0
9395,449858.8563444654,215000.0
5018,582252.4621676571,339000.0
10657,1142102.3141116905,1135000.0
15872,820985.1872567524,1280000.0
15144,349541.4897472358,364500.0
3108,516684.3446978583,395000.0
14412,623086.8947583776,717000.0
14165,818734.7960842656,777000.0
3971,332559.5803623871,395000.0
3353,711231.4794862509,485000.0
19369,309506.79070220573,385000.0
7466,574398.9589616619,579000.0
12076,417250.43519878166,511555.0
16098,389361.21964888007,400000.0
4085,754094.9206767281,661000.0
8530,245502.50583164644,290000.0
2020,668260.414991693,650000.0
20244,761446.2078049447,557000.0
4985,709141.8639991159,540000.0
19494,264702.6205804702,320000.0
3461,278419.648850741,324950.0
5245,485605.3091412566,241500.0
9387,602529.3845069957,645000.0
3532,249885.7538390929,385000.0
2300,579983.4703430211,429000.0
4779,375294.6233872636,310000.0
9610,313150.09423610393,255000.0
1901,273838.98708703765,210000.0
13263,661014.6150635899,530000.0
13056,232912.40281217155,220000.0
14724,580202.4670509474,550000.0
3481,807909.7171113681,695000.0
19100,689530.1089562697,555000.0
14228,913079.9629418371,850000.0
9913,717829.0990261397,640000.0
4003,687755.6923407608,690000.0
17441,134982.84811626893,220000.0
5449,264885.5874067503,304000.0
15483,515971.904785751,390000.0
9199,1768517.065747092,1680000.0
7735,659745.9088743824,580000.0
2388,121353.76433811663,235000.0
5198,81344.10624594917,199999.0
484,859848.066281817,1280000.0
9102,1240406.9476462216,1265000.0
4149,347434.9972349119,335000.0
13847,360928.8753414097,212000.0
2350,627197.6246784308,575000.0
11571,1359604.2696879506,1730000.0
17352,274045.98040770134,380000.0
15528,235099.91877854953,355000.0
15387,564203.4136964392,615000.0
10934,945537.6682309756,851000.0
18627,843859.3736102973,1000000.0
2361,318658.89108083816,172040.0
12657,829458.1263771203,610000.0
3210,327380.6822719072,374950.0
18547,315862.96906709776,299900.0
2090,249081.4512968019,272000.0
10049,537177.2419550621,546500.0
12429,717253.6000701723,940000.0
2937,495368.4271555637,464000.0
5337,768711.0413747326,779000.0
11293,506410.17760097317,443000.0
20860,619554.3344569495,730000.0
20293,784655.9839316363,750000.0
8936,433882.0802408251,350000.0
18341,351745.14315770543,490000.0
4420,597461.3138549932,790000.0
6526,438215.8926315028,500000.0
10279,447485.7062716184,429000.0
12223,162883.24993657,162248.0
11668,1131041.690841848,1850000.0
16792,519132.5217067505,427000.0
17303,1300703.6541903843,1870000.0
9745,435186.81052560755,435000.0
15773,631560.0222209358,299250.0
12438,340373.3416697822,90000.0
3522,927190.4871737981,1008000.0
8537,737833.7627459487,594950.0
16315,357156.1785657803,416000.0
17795,650255.8159114411,455000.0
21382,473383.6126168554,747450.0
10434,989674.0114325368,1700000.0
5314,705671.4501654296,710000.0
6069,379861.8230044474,277500.0
1063,353599.982164343,360000.0
8937,356079.18714188517,485000.0
5863,469614.36941454245,250000.0
12303,475508.97324759664,575000.0
13719,933487.1315688229,765000.0
5116,585203.8575519248,377691.0
1474,388749.2250433421,514000.0
7840,618360.5171580442,380000.0
3817,529748.597139259,359950.0
17857,418466.7099743803,255000.0
13357,208092.99043412728,381000.0
18568,411291.27759216935,399950.0
15094,524854.8842404002,467500.0
10199,224420.84097161412,309900.0
18713,176411.39036512177,239000.0
13394,938846.8723765229,850000.0
843,170374.82791701495,287653.0
15050,428029.4073280111,374000.0
17462,606937.9549562488,635000.0
7934,415581.906101192,259900.0
15893,377683.23258512444,390000.0
133,715982.999685489,675000.0
17785,397722.4817482601,290000.0
1227,500622.41658536333,645000.0
4519,787176.120460356,900000.0
15258,94504.89608067484,281000.0
13416,280443.0793297838,249900.0
8704,291314.9807110854,291000.0
14650,567426.3356416012,620000.0
21312,716290.4906316552,890776.0
16758,610101.4967229163,457000.0
19344,252980.81489724992,349900.0
18654,394555.170372559,419000.0
6662,563638.6245227043,602000.0
10236,618133.0330637195,554500.0
11263,753024.5276374279,495000.0
1272,285617.50881459145,355000.0
18386,211320.74776002363,223000.0
12620,882613.3725678894,1149000.0
7346,1270238.5741240769,1600000.0
10605,1180163.0196632328,1325000.0
16888,917863.208673926,838000.0
385,285957.0429689154,345000.0
4475,594438.2041883921,555000.0
6538,632893.7961059897,675000.0
13082,512156.21802130574,595000.0
15870,472910.66662604467,580000.0
7515,362046.05627657694,320000.0
8557,780701.0881979183,751000.0
6864,657444.2884644866,540000.0
474,872921.1270372657,590000.0
15697,451910.4317181626,518000.0
12517,326941.3554061032,230000.0
11866,383716.0423020483,249000.0
718,382439.1100522508,350000.0
4202,386286.67015694233,445000.0
3295,259088.93808220408,359000.0
16469,333244.03920384974,355500.0
11090,693678.5217166602,485000.0
10882,925377.2466229653,742500.0
1450,502539.8259708511,495000.0
5215,425748.4695718682,658000.0
6285,349133.75830673566,400000.0
10903,458975.0671095584,335000.0
17681,293363.2986515999,550000.0
447,75917.92765104375,232000.0
640,208823.91970040085,240000.0
6844,362455.21845387144,410500.0
1489,923378.7348614678,612000.0
9639,786369.70937487,680000.0
4528,478899.9351973918,345000.0
2712,264363.75457014283,234500.0
18074,560049.8220245754,591000.0
7571,373208.42244358873,250000.0
7199,450331.8842788703,395000.0
12550,249210.2702546866,261500.0
5359,396677.7282230611,295000.0
16350,419268.14618742745,298500.0
13724,492968.6878417266,345000.0
11847,1351345.7106378558,900000.0
15957,818337.1474844258,587000.0
16867,414205.6842195387,170000.0
1572,521165.22423006257,453500.0
12104,1193075.0582658998,1190000.0
17442,1364715.35482086,1284000.0
16424,370712.83713881136,420000.0
19013,842642.5706204121,500000.0
9622,495837.0923162013,260000.0
1097,918268.5755041387,1127000.0
6178,359139.4691693904,289950.0
15983,485983.70442176866,434400.0
7719,668568.345487125,585000.0
20089,771847.5244413402,550000.0
12341,246507.61970505037,229000.0
18827,126784.66194316407,210000.0
16025,765978.0186601374,683000.0
20616,391183.693142268,699999.0
17444,12913.411154431291,157000.0
16889,462013.19637812395,670500.0
911,394414.7300324779,290000.0
6868,449483.9402715353,417500.0
17407,516720.1075855582,600000.0
18483,605351.3979519994,385000.0
9376,679982.8997931735,420000.0
11251,579772.9567784453,490000.0
6451,99697.32020152872,309212.0
3794,938734.0695174168,856000.0
2740,428334.6320144279,385000.0
6145,454480.2226724067,450000.0
6725,271994.4260424712,310000.0
20946,800251.256963695,450000.0
2189,176010.86950943788,258500.0
13492,397159.97841876606,348580.0
7335,609059.9220361249,366000.0
1311,305907.95525435626,267500.0
18967,211584.7990629638,315000.0
1765,560456.8765344947,712000.0
19191,463649.9153866526,450000.0
19926,924423.5604148653,920000.0
6440,358162.3916716665,280000.0
14945,477048.7026722741,288000.0
3798,421099.27693576727,414250.0
11192,1007624.5973776429,857000.0
7333,950589.629867856,1184000.0
3396,546971.6467366288,475500.0
5312,611106.5032330889,399000.0
13113,365375.7421747509,255000.0
18092,380498.06838957313,330000.0
12750,417753.26729639457,319950.0
6814,178731.06714360585,312000.0
10352,591076.8683099366,400000.0
10217,525406.5585849787,350000.0
9459,788092.104845775,825000.0
10567,447941.96369376977,615000.0
6689,233433.87930956774,275000.0
16933,586785.0639516687,431000.0
12243,936545.1972316472,850000.0
6517,465085.350958499,580000.0
10212,727433.7622029311,464000.0
14432,93670.42450348684,310000.0
7603,608344.2444584087,670000.0
14929,799604.1476775712,840000.0
2501,430799.1138378342,356500.0
482,297081.83188211545,207950.0
4564,517501.0246071402,495000.0
13365,363799.4284031064,447000.0
7327,689718.7878379459,450000.0
20257,783529.2857473838,659950.0
4462,406144.7584909344,305000.0
12510,215040.18428693718,280000.0
4547,264289.9592733694,259950.0
1052,302899.8804415618,249500.0
3588,355990.09947436734,280000.0
11617,697192.4309881132,590000.0
20856,576981.3966119201,500000.0
6685,290761.37894513714,299950.0
7217,534780.243574275,485000.0
11925,455208.8040245597,385000.0
3341,569442.6140905827,613000.0
7568,647649.0003896739,730000.0
139,443425.3271346198,665000.0
16545,757713.1264887757,1049000.0
4574,181241.58869653638,245000.0
8510,922796.7319245049,560000.0
15644,791194.6228324146,572000.0
18756,819134.4536889804,1190000.0
8917,708481.9261318722,700000.0
7828,451034.7401062978,252500.0
4028,90282.43861481862,212500.0
14278,615132.2559522762,605000.0
7093,634661.2625959396,725000.0
19751,361358.5846589921,455000.0
11438,192119.3387217183,339000.0
10192,545957.992055381,540500.0
5996,379718.89697514183,321000.0
14857,773498.2218394952,840000.0
2946,679130.1803383776,483000.0
19854,1179920.6833857056,1040000.0
16547,628739.1840641734,405000.0
19235,283027.5052469027,401000.0
12053,494221.7009250516,418000.0
11346,1912264.8852521693,2750000.0
6064,293761.6993041516,250000.0
11654,400956.7210829429,435000.0
14101,290569.654365474,360000.0
18192,383210.3642591331,403000.0
2998,498876.238196732,409500.0
8030,3157230.1201059986,4668000.0
5621,841953.6632051136,800000.0
12437,648544.166669148,330000.0
2879,683898.3808982316,675000.0
6734,130779.04704206472,212000.0
6068,779763.2718741113,704111.0
1453,309551.69274546404,440000.0
11446,895825.6051898567,515000.0
10836,502211.7200579798,360000.0
15598,315136.5482049758,295000.0
17805,537683.1631667749,525000.0
1261,532393.6549533998,590000.0
18824,1317688.040359287,1505000.0
21356,1226203.0160106258,1325000.0
7626,351070.15530300036,355000.0
16037,940413.622899012,580000.0
7779,390105.5238705048,342450.0
11420,536701.7755071295,395000.0
1056,474257.6203197449,275000.0
11441,685290.4992680422,690000.0
6705,1021305.9054920418,969000.0
10676,580367.6351839708,603000.0
18758,454281.86251242633,225000.0
11212,144247.89824040217,335000.0
6424,1049020.1533850506,760000.0
19972,772546.266417398,1575000.0
11900,376302.8063934465,435000.0
15404,426044.05959461245,375000.0
19287,364213.2300942526,342000.0
16953,460779.18659389555,375900.0
16301,901492.6945499222,822600.0
20418,211942.56555247726,273500.0
13449,249798.43762938696,280000.0
13797,528435.0824156182,572500.0
15929,716634.3464686652,500000.0
7947,799317.5749561739,495500.0
5478,770215.2608247154,700000.0
17184,416575.176270013,455600.0
5748,365819.6441437418,327500.0
803,372951.2741220654,361000.0
17348,759350.4552576718,982000.0
19804,184268.29349271482,175003.0
10334,457340.3373835472,389000.0
8610,832335.4925997372,895000.0
19271,496575.7976402934,490000.0
15709,351583.8216525391,312000.0
12416,-3594.645777928701,174000.0
8369,480447.5728910789,520000.0
14710,1068796.2265415294,1070000.0
2115,565675.6171954018,655000.0
13257,760677.3486008354,759000.0
14875,983452.374785534,1105000.0
21166,605157.6804014194,563950.0
1968,503009.5975319054,310000.0
7353,672623.157359634,450000.0
10928,491418.35485338536,467500.0
12434,550434.5874288109,608000.0
1827,769701.074383943,824500.0
10795,607648.0095821365,405000.0
16939,467579.6102264897,354000.0
323,929204.107695711,274975.0
8246,226787.34840073483,225000.0
20838,152278.89150063833,284000.0
3115,489438.9971792626,485000.0
16569,578155.2110542725,415000.0
21198,752849.2845526305,705000.0
16695,760935.2768768737,800000.0
17573,509743.77537463524,498000.0
2676,643245.9490979052,580000.0
2053,419654.4084247063,370000.0
4505,558874.5972725814,700000.0
8952,981904.1091424323,875000.0
20502,197691.67377357546,274950.0
4788,880030.0271708282,689000.0
14988,648525.8351295342,745000.0
20356,486995.63245548715,565000.0
3070,185389.3449732543,285000.0
20072,626729.946605784,649000.0
